year,month,week,origin,volume_tonnes,price_high,price_mid,price_low,approx_fish_count,week_number,week_id
2006,2,1,各地,33.7,18375.0,4548.0,2100,135,106,2006-02-1
2006,2,2,各地,40.8,26250.0,4651.0,2310,163,107,2006-02-2
2006,2,3,各地,45.0,26250.0,4068.0,1575,180,108,2006-02-3
2006,2,4,各地,38.1,21000.0,4927.0,2100,152,109,2006-02-4
2006,3,1,各地,39.8,24150.0,7226.0,2625,159,110,2006-03-1
2006,3,2,各地,41.9,26250.0,6284.0,2100,168,111,2006-03-2
2006,3,3,各地,52.1,21000.0,5964.0,2100,208,112,2006-03-3
2006,3,4,各地,40.6,14700.0,4696.0,2100,162,113,2006-03-4
2006,3,5,各地,37.9,13650.0,4780.0,2100,152,114,2006-03-5
2006,4,1,各地,42.2,18900.0,4979.0,2100,169,115,2006-04-1
2006,4,2,各地,44.2,13650.0,5325.0,2625,177,116,2006-04-2
2006,4,3,各地,41.5,9240.0,4266.0,2100,166,117,2006-04-3
2006,4,4,各地,55.1,8925.0,4410.0,1050,220,118,2006-04-4
2006,5,1,各地,57.8,9450.0,3996.0,1365,231,119,2006-05-1
2006,5,2,各地,48.4,7875.0,3950.0,630,194,120,2006-05-2
2006,5,3,各地,38.4,7875.0,3446.0,1050,154,121,2006-05-3
2006,5,4,各地,38.4,12075.0,3444.0,840,154,122,2006-05-4
2006,6,1,各地,37.0,7875.0,3000.0,1575,148,123,2006-06-1
2006,6,2,各地,40.6,7350.0,3626.0,1050,162,124,2006-06-2
2006,6,3,各地,45.3,8925.0,2974.0,1050,181,125,2006-06-3
2006,6,4,各地,42.3,7875.0,2916.0,893,169,126,2006-06-4
2006,6,5,各地,45.8,7350.0,2607.0,1050,183,127,2006-06-5
2006,7,1,各地,43.2,7350.0,2500.0,840,173,128,2006-07-1
2006,7,2,各地,45.0,13650.0,2869.0,1365,180,129,2006-07-2
2006,7,3,各地,46.2,14700.0,2808.0,1050,185,130,2006-07-3
2006,7,4,各地,50.1,13125.0,2153.0,735,200,131,2006-07-4
2006,8,1,各地,37.8,9450.0,3072.0,1050,151,132,2006-08-1
2006,8,2,各地,44.8,12075.0,3545.0,1260,179,133,2006-08-2
2006,8,3,各地,42.2,9450.0,4647.0,1575,169,134,2006-08-3
2006,8,4,各地,39.1,8925.0,3343.0,1050,156,135,2006-08-4
2006,8,5,各地,41.1,9450.0,2773.0,1050,164,136,2006-08-5
2006,9,1,各地,36.2,8925.0,3797.0,1575,145,137,2006-09-1
2006,9,2,各地,43.0,10500.0,3809.0,1890,172,138,2006-09-2
2006,9,3,各地,50.2,9450.0,4118.0,1260,201,139,2006-09-3
2006,9,4,各地,52.2,9765.0,4039.0,1365,209,140,2006-09-4
2006,10,1,各地,43.8,7350.0,3902.0,1050,175,141,2006-10-1
2006,10,2,各地,41.7,11025.0,5088.0,1575,167,142,2006-10-2
2006,10,3,各地,47.0,8925.0,4190.0,1785,188,143,2006-10-3
2006,10,4,各地,45.1,7875.0,3616.0,683,180,144,2006-10-4
2006,11,1,各地,39.2,11550.0,4026.0,735,157,145,2006-11-1
2006,11,2,各地,48.7,13650.0,4102.0,1208,195,146,2006-11-2
2006,11,3,各地,44.3,15750.0,6043.0,2100,177,147,2006-11-3
2006,11,4,各地,43.5,14700.0,7989.0,1890,174,148,2006-11-4
2006,11,5,各地,52.6,13650.0,6604.0,3150,210,149,2006-11-5
2006,12,1,各地,50.6,10500.0,6617.0,2100,202,150,2006-12-1
2006,12,2,各地,66.6,9450.0,5339.0,2100,266,151,2006-12-2
2006,12,3,各地,62.1,13650.0,5424.0,2100,248,152,2006-12-3
2006,12,4,各地,81.5,24150.0,6969.0,2100,326,153,2006-12-4
2007,1,1,各地,52.1,21000.0,5197.0,2100,208,154,2007-01-1
2007,1,2,各地,40.6,16800.0,4745.0,2100,162,155,2007-01-2
2007,1,3,各地,39.3,13650.0,4521.0,2100,157,156,2007-01-3
2007,2,1,各地,36.2,14700.0,5074.0,2100,145,157,2007-02-1
2007,2,2,各地,36.7,18900.0,5086.0,2310,147,158,2007-02-2
2007,2,3,各地,35.9,14700.0,4870.0,2100,144,159,2007-02-3
2007,2,4,各地,40.4,17850.0,4629.0,2310,162,160,2007-02-4
2007,3,1,各地,46.0,17850.0,5200.0,2100,184,161,2007-03-1
2007,3,2,各地,48.5,17850.0,6216.0,2625,194,162,2007-03-2
2007,3,3,各地,39.2,17325.0,5240.0,2100,157,163,2007-03-3
