Year,Continent,Country Name,Product Name,US Customs District,Value (USD),Volume (kg)
2006,OCEANIA,AUSTRALIA,TUNA BLUEFIN SOUTHERN FROZEN,"LOS ANGELES, CA",19295,1015
2005,AFRICA,TUNISIA,TUNA BLUEFIN FRESH,"BOSTON, MA",343895,18776
2005,AFRICA,TUNISIA,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",286213,17165
2005,ASIA,INDONESIA,TUNA BLUEFIN FRESH,"BOSTON, MA",12580,750
2005,ASIA,SOUTH KOREA,TUNA BLUEFIN FRESH,"SAN FRANCISCO, CA",10390,611
2005,ASIA,JAPAN,TUNA BLUEFIN FRESH,"NEW YORK, NY",2254,77
2005,ASIA,JAPAN,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",40973,820
2005,ASIA,JAPAN,TUNA BLUEFIN FRESH,"SAN FRANCISCO, CA",455453,7779
2005,ASIA,JAPAN,TUNA BLUEFIN FRESH,"MIAMI, FL",14412,200
2005,EUROPE,SPAIN,TUNA BLUEFIN FRESH,"BOSTON, MA",135278,9821
2005,EUROPE,SPAIN,TUNA BLUEFIN FRESH,"NEW YORK, NY",1598455,72101
2005,EUROPE,SPAIN,TUNA BLUEFIN FRESH,"SAVANNAH, GA",2413919,110768
2005,EUROPE,SPAIN,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",776592,38605
2005,EUROPE,SPAIN,TUNA BLUEFIN FRESH,"CHICAGO, IL",6011,361
2005,EUROPE,SPAIN,TUNA BLUEFIN FRESH,"MIAMI, FL",774033,33005
2005,EUROPE,MALTA,TUNA BLUEFIN FRESH,"BOSTON, MA",162358,7977
2005,EUROPE,MALTA,TUNA BLUEFIN FRESH,"NEW YORK, NY",59148,2918
2005,EUROPE,MALTA,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",126806,6070
2005,EUROPE,ITALY,TUNA BLUEFIN FRESH,"BOSTON, MA",107971,7097
2005,EUROPE,ITALY,TUNA BLUEFIN FRESH,"NEW YORK, NY",69942,3464
2005,EUROPE,ITALY,TUNA BLUEFIN FRESH,"SAVANNAH, GA",9293,496
2005,EUROPE,ITALY,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",115218,6548
2005,EUROPE,ITALY,TUNA BLUEFIN FRESH,"MIAMI, FL",133153,7233
2005,EUROPE,GREECE,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",18175,1364
2005,EUROPE,TURKEY,TUNA BLUEFIN FRESH,"BOSTON, MA",23210,1360
2005,EUROPE,TURKEY,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",103866,5138
2005,EUROPE,TURKEY,TUNA BLUEFIN FRESH,"MIAMI, FL",38493,1674
2005,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"PORTLAND, ME",2127737,158362
2005,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"BOSTON, MA",4636,227
2005,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"NEW YORK, NY",55051,2879
2005,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"NEW ORLEANS, LA",207076,12510
2005,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",972589,42728
2005,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"SAN FRANCISCO, CA",67161,2858
2005,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"SEATTLE, WA",29858,1381
2005,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"HONOLULU, HI",26175,792
2005,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"DETROIT, MI",2906,267
2005,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"CLEVELAND, OH",13405,627
2005,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"MIAMI, FL",6270,569
2005,NORTH AMERICA,MEXICO,TUNA BLUEFIN FRESH,"LAREDO, TX",27255,3894
2005,NORTH AMERICA,MEXICO,TUNA BLUEFIN FRESH,"SAN DIEGO, CA",9825750,868146
2005,NORTH AMERICA,MEXICO,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",2777114,181373
2005,OCEANIA,COOK IS.,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",2258,142
2005,SOUTH AMERICA,VENEZUELA,TUNA BLUEFIN FRESH,"NEW YORK, NY",7450,358
2005,OCEANIA,AUSTRALIA,TUNA BLUEFIN SOUTHERN FRESH,"LOS ANGELES, CA",1352462,82871
2005,OCEANIA,NEW ZEALAND,TUNA BLUEFIN SOUTHERN FRESH,"LOS ANGELES, CA",14120,1894
2005,ASIA,INDONESIA,TUNA BLUEFIN FROZEN,"NEW YORK, NY",388464,19700
2005,ASIA,SOUTH KOREA,TUNA BLUEFIN FROZEN,"LOS ANGELES, CA",20760,1630
2005,ASIA,JAPAN,TUNA BLUEFIN FROZEN,"NEW YORK, NY",979243,20434
2005,ASIA,JAPAN,TUNA BLUEFIN FROZEN,"LOS ANGELES, CA",1081535,40658
2005,ASIA,JAPAN,TUNA BLUEFIN FROZEN,"MIAMI, FL",17839,1189
2005,EUROPE,SPAIN,TUNA BLUEFIN FROZEN,"BOSTON, MA",8534,364
2005,EUROPE,SPAIN,TUNA BLUEFIN FROZEN,"NEW YORK, NY",469359,22634
2005,EUROPE,SPAIN,TUNA BLUEFIN FROZEN,"LOS ANGELES, CA",21679,1239
2005,EUROPE,ITALY,TUNA BLUEFIN FROZEN,"NEW YORK, NY",72572,3416
2005,EUROPE,ITALY,TUNA BLUEFIN FROZEN,"MIAMI, FL",100714,1275
2005,EUROPE,CROATIA,TUNA BLUEFIN FROZEN,"NEW YORK, NY",315023,14929
2005,EUROPE,TURKEY,TUNA BLUEFIN FROZEN,"NEW YORK, NY",98583,4286
2005,EUROPE,CYPRUS,TUNA BLUEFIN FROZEN,"MIAMI, FL",83816,5588
2005,NORTH AMERICA,CANADA,TUNA BLUEFIN FROZEN,"PORTLAND, ME",54792,3046
2005,ASIA,INDONESIA,TUNA BLUEFIN SOUTHERN FROZEN,"LOS ANGELES, CA",2400416,156990
2005,ASIA,JAPAN,TUNA BLUEFIN SOUTHERN FROZEN,"LOS ANGELES, CA",10065,176
2005,OCEANIA,AUSTRALIA,TUNA BLUEFIN SOUTHERN FROZEN,"NEW YORK, NY",16296,959
2005,OCEANIA,AUSTRALIA,TUNA BLUEFIN SOUTHERN FROZEN,"SAN FRANCISCO, CA",8062,139
2004,AFRICA,TUNISIA,TUNA BLUEFIN FRESH,"NEW YORK, NY",69062,5290
2004,AFRICA,TUNISIA,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",87045,5803
2004,AFRICA,SOUTH AFRICA,TUNA BLUEFIN FRESH,"NEW YORK, NY",4069,680
2004,ASIA,JAPAN,TUNA BLUEFIN FRESH,"NEW YORK, NY",23333,2333
2004,ASIA,JAPAN,TUNA BLUEFIN FRESH,"SAN FRANCISCO, CA",250888,21028
2004,EUROPE,FRANCE,TUNA BLUEFIN FRESH,"CHICAGO, IL",14049,319
2004,EUROPE,SPAIN,TUNA BLUEFIN FRESH,"NEW YORK, NY",2657636,144352
2004,EUROPE,SPAIN,TUNA BLUEFIN FRESH,"SAVANNAH, GA",25485,1699
2004,EUROPE,SPAIN,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",66820,4544
2004,EUROPE,SPAIN,TUNA BLUEFIN FRESH,"MIAMI, FL",1083344,49526
2004,EUROPE,PORTUGAL,TUNA BLUEFIN FRESH,"BOSTON, MA",3168,144
2004,EUROPE,MALTA,TUNA BLUEFIN FRESH,"BOSTON, MA",6443,379
2004,EUROPE,MALTA,TUNA BLUEFIN FRESH,"NEW YORK, NY",14560,1044
2004,EUROPE,ITALY,TUNA BLUEFIN FRESH,"BOSTON, MA",56535,3025
2004,EUROPE,ITALY,TUNA BLUEFIN FRESH,"NEW YORK, NY",306007,23526
2004,EUROPE,ITALY,TUNA BLUEFIN FRESH,"SAVANNAH, GA",251989,14156
2004,EUROPE,ITALY,TUNA BLUEFIN FRESH,"SAN FRANCISCO, CA",8687,249
2004,EUROPE,ITALY,TUNA BLUEFIN FRESH,"CLEVELAND, OH",27000,2440
2004,EUROPE,ITALY,TUNA BLUEFIN FRESH,"MIAMI, FL",299155,16174
2004,EUROPE,GREECE,TUNA BLUEFIN FRESH,"NEW YORK, NY",5000,585
2004,EUROPE,TURKEY,TUNA BLUEFIN FRESH,"BOSTON, MA",87364,6155
2004,EUROPE,TURKEY,TUNA BLUEFIN FRESH,"NEW YORK, NY",286702,12103
2004,EUROPE,TURKEY,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",393881,18430
2004,EUROPE,CYPRUS,TUNA BLUEFIN FRESH,"BOSTON, MA",97913,4969
2004,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"PORTLAND, ME",1765049,117450
2004,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"NEW YORK, NY",14380,1158
2004,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"NEW ORLEANS, LA",35880,2157
2004,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",664178,33563
2004,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"SAN FRANCISCO, CA",56942,1787
2004,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"SEATTLE, WA",17971,795
2004,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"DETROIT, MI",5880,222
2004,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"CHICAGO, IL",6825,619
2004,NORTH AMERICA,MEXICO,TUNA BLUEFIN FRESH,"LAREDO, TX",10306,2799
2004,NORTH AMERICA,MEXICO,TUNA BLUEFIN FRESH,"SAN DIEGO, CA",11902920,963608
2004,NORTH AMERICA,MEXICO,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",253099,21393
2004,ASIA,JAPAN,TUNA BLUEFIN SOUTHERN FRESH,"LOS ANGELES, CA",25245,1200
2004,OCEANIA,AUSTRALIA,TUNA BLUEFIN SOUTHERN FRESH,"NEW YORK, NY",13181,907
2004,OCEANIA,AUSTRALIA,TUNA BLUEFIN SOUTHERN FRESH,"LOS ANGELES, CA",989496,174586
2004,OCEANIA,AUSTRALIA,TUNA BLUEFIN SOUTHERN FRESH,"HONOLULU, HI",2468,190
2004,OCEANIA,NEW ZEALAND,TUNA BLUEFIN SOUTHERN FRESH,"LOS ANGELES, CA",33285,5477
2004,OCEANIA,NEW ZEALAND,TUNA BLUEFIN SOUTHERN FRESH,"HONOLULU, HI",7435,1729
2004,AFRICA,TUNISIA,TUNA BLUEFIN FROZEN,"NEW YORK, NY",20072,2061
2004,ASIA,JAPAN,TUNA BLUEFIN FROZEN,"NEW YORK, NY",990122,124763
2004,ASIA,JAPAN,TUNA BLUEFIN FROZEN,"LOS ANGELES, CA",272326,11135
2004,ASIA,JAPAN,TUNA BLUEFIN FROZEN,"SAN FRANCISCO, CA",15280,249
2004,ASIA,JAPAN,TUNA BLUEFIN FROZEN,"MIAMI, FL",12329,164
2004,EUROPE,GERMANY,TUNA BLUEFIN FROZEN,"NEW YORK, NY",32643,2782
2004,EUROPE,SPAIN,TUNA BLUEFIN FROZEN,"BOSTON, MA",56361,6387
2004,EUROPE,SPAIN,TUNA BLUEFIN FROZEN,"NEW YORK, NY",16373,1235
2004,EUROPE,SPAIN,TUNA BLUEFIN FROZEN,"LOS ANGELES, CA",39240,5135
2004,EUROPE,MALTA,TUNA BLUEFIN FROZEN,"SAN FRANCISCO, CA",4429,103
2004,EUROPE,ITALY,TUNA BLUEFIN FROZEN,"BOSTON, MA",184279,17707
2004,EUROPE,ITALY,TUNA BLUEFIN FROZEN,"NEW YORK, NY",5634,500
2004,EUROPE,ITALY,TUNA BLUEFIN FROZEN,"SAVANNAH, GA",4842,593
2004,EUROPE,CROATIA,TUNA BLUEFIN FROZEN,"NEW YORK, NY",208742,29821
2004,EUROPE,GREECE,TUNA BLUEFIN FROZEN,"BOSTON, MA",6965,586
2004,EUROPE,TURKEY,TUNA BLUEFIN FROZEN,"NEW YORK, NY",178624,14805
2004,EUROPE,TURKEY,TUNA BLUEFIN FROZEN,"CHICAGO, IL",8419,137
2004,ASIA,JAPAN,TUNA BLUEFIN SOUTHERN FROZEN,"LOS ANGELES, CA",14658,5529
2004,OCEANIA,AUSTRALIA,TUNA BLUEFIN SOUTHERN FROZEN,"SAN FRANCISCO, CA",29008,1991
2003,ASIA,VIETNAM,TUNA BLUEFIN FRESH,"NEW YORK, NY",5304,958
2003,ASIA,TAIWAN,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",17069,512
2003,ASIA,JAPAN,TUNA BLUEFIN FRESH,"NEW YORK, NY",333366,23031
2003,ASIA,JAPAN,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",173944,8304
2003,EUROPE,FRANCE,TUNA BLUEFIN FRESH,"NEW YORK, NY",14774,702
2003,EUROPE,SPAIN,TUNA BLUEFIN FRESH,"BOSTON, MA",32686,1419
2003,EUROPE,SPAIN,TUNA BLUEFIN FRESH,"NEW YORK, NY",3427033,193986
2003,EUROPE,SPAIN,TUNA BLUEFIN FRESH,"SAVANNAH, GA",148641,9743
2003,EUROPE,SPAIN,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",885350,57257
2003,EUROPE,SPAIN,TUNA BLUEFIN FRESH,"MIAMI, FL",50560,1959
2003,EUROPE,MALTA,TUNA BLUEFIN FRESH,"NEW YORK, NY",10840,1014
2003,EUROPE,ITALY,TUNA BLUEFIN FRESH,"BOSTON, MA",349935,23956
2003,EUROPE,ITALY,TUNA BLUEFIN FRESH,"NEW YORK, NY",75854,3257
2003,EUROPE,ITALY,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",66688,1974
2003,EUROPE,ITALY,TUNA BLUEFIN FRESH,"SAN FRANCISCO, CA",4960,360
2003,EUROPE,ITALY,TUNA BLUEFIN FRESH,"MIAMI, FL",12782,581
2003,EUROPE,CROATIA,TUNA BLUEFIN FRESH,"MIAMI, FL",19421,1074
2003,EUROPE,GREECE,TUNA BLUEFIN FRESH,"BOSTON, MA",41911,2876
2003,EUROPE,GREECE,TUNA BLUEFIN FRESH,"NEW YORK, NY",32647,2438
2003,EUROPE,GREECE,TUNA BLUEFIN FRESH,"SAVANNAH, GA",27360,3373
2003,EUROPE,GREECE,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",13479,1151
2003,EUROPE,GREECE,TUNA BLUEFIN FRESH,"MIAMI, FL",24185,1131
2003,EUROPE,TURKEY,TUNA BLUEFIN FRESH,"BOSTON, MA",137266,9055
2003,EUROPE,TURKEY,TUNA BLUEFIN FRESH,"NEW YORK, NY",218914,12283
2003,EUROPE,TURKEY,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",237029,15133
2003,EUROPE,TURKEY,TUNA BLUEFIN FRESH,"MIAMI, FL",200983,10167
2003,EUROPE,CYPRUS,TUNA BLUEFIN FRESH,"BOSTON, MA",5910,394
2003,EUROPE,CYPRUS,TUNA BLUEFIN FRESH,"NEW YORK, NY",22769,1774
2003,EUROPE,CYPRUS,TUNA BLUEFIN FRESH,"MIAMI, FL",8251,577
2003,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"PORTLAND, ME",1977825,129618
2003,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"NEW YORK, NY",27642,1598
2003,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"NEW ORLEANS, LA",104987,7095
2003,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"LOS ANGELES, CA",607134,33744
2003,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"SAN FRANCISCO, CA",31088,953
2003,NORTH AMERICA,CANADA,TUNA BLUEFIN FRESH,"SEATTLE, WA",5352,202
2003,NORTH AMERICA,MEXICO,TUNA BLUEFIN FRESH,"LAREDO, TX",26815,4763
2003,NORTH AMERICA,MEXICO,TUNA BLUEFIN FRESH,"SAN DIEGO, CA",8938734,835732
2003,SOUTH AMERICA,VENEZUELA,TUNA BLUEFIN FRESH,"NEW YORK, NY",29437,1310
